Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Karangkobar,unggas,Itik Biasa,2020,0
Karangkobar,unggas,Itik Manila,2020,529
Karangkobar,besar,Sapi Perah,2021,16
Karangkobar,besar,Sapi,2021,3914
Karangkobar,besar,Kerbau,2021,45
Karangkobar,besar,Kuda,2021,0
Karangkobar,kecil,Kambing,2021,29572
Karangkobar,kecil,Domba,2021,15331.35
Karangkobar,kecil,Babi,2021,0
Karangkobar,kecil,Kelinci,2021,131
Karangkobar,unggas,Ayam Kampung,2021,29663
Karangkobar,unggas,Ayam Ras Layer,2021,5072
Karangkobar,unggas,Ayam Broiler,2021,367900
Karangkobar,unggas,Itik Biasa,2021,0
Karangkobar,unggas,Itik Manila,2021,530
Karangkobar,besar,Sapi Perah,2022,10
Karangkobar,besar,Sapi,2022,3520
Karangkobar,besar,Kerbau,2022,45
Karangkobar,besar,Kuda,2022,0
Karangkobar,kecil,Kambing,2022,29664
Karangkobar,kecil,Domba,2022,15422
Karangkobar,kecil,Babi,2022,0
Karangkobar,kecil,Kelinci,2022,135
Karangkobar,unggas,Ayam Kampung,2022,29166
Karangkobar,unggas,Ayam Ras Layer,2022,5107
Karangkobar,unggas,Ayam Broiler,2022,366931
Karangkobar,unggas,Itik Biasa,2022,-65
Karangkobar,unggas,Itik Manila,2022,548
Karangkobar,besar,Sapi Perah,2023,9
Karangkobar,besar,Sapi,2023,2709
Karangkobar,besar,Kerbau,2023,27
Karangkobar,besar,Kuda,2023,0
Karangkobar,kecil,Kambing,2023,30317
Karangkobar,kecil,Domba,2023,15601
Karangkobar,kecil,Kelinci,2023,130
Karangkobar,unggas,Ayam Kampung,2023,29166
Karangkobar,unggas,Ayam Ras Layer,2023,5107
Karangkobar,unggas,Ayam Broiler,2023,366931
Karangkobar,unggas,Itik Biasa,2023,65
Karangkobar,unggas,Itik Manila,2023,548
Karangkobar,besar,Sapi Perah,2024,0
Karangkobar,besar,Sapi,2024,696
Karangkobar,besar,Kerbau,2024,4
Karangkobar,besar,Kuda,2024,0
Karangkobar,kecil,Kambing,2024,12933
Karangkobar,kecil,Domba,2024,933
Karangkobar,kecil,Kelinci,2024,582
Karangkobar,unggas,Ayam Kampung,2024,12045
