Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Batur,biofarmaka,Laos,2021,0,tangkai
Batur,biofarmaka,Kencur,2021,0,tangkai
Batur,biofarmaka,Kunyit,2021,0,tangkai
Batur,sayuran,Bawang Merah,2022,0,ton
Batur,sayuran,Cabai Besar,2022,0,ton
Batur,sayuran,Kentang,2022,82765,ton
Batur,sayuran,Kubis,2022,25795,ton
Batur,sayuran,Petsai,2022,0,ton
Batur,sayuran,Tomat,2022,0,ton
Batur,sayuran,Bawang Putih,2022,0,ton
Batur,sayuran,Cabai Rawit,2022,0,ton
Batur,buah_tahunan,Mangga,2022,0,ton
Batur,buah_tahunan,Durian,2022,0,ton
Batur,buah_tahunan,Jeruk Besar,2022,0,ton
Batur,buah_tahunan,Pisang,2022,120.4,ton
Batur,buah_tahunan,Pepaya,2022,2787.6,ton
Batur,buah_tahunan,Salak,2022,0,ton
Batur,buah_tahunan,Jeruk Siam,2022,0,ton
Batur,tanaman_hias,Agloenema,2022,0,tangkai
Batur,tanaman_hias,Krisan,2022,0,tangkai
Batur,tanaman_hias,Mawar,2022,0,tangkai
Batur,tanaman_hias,Soka,2022,0,tangkai
Batur,biofarmaka,Jahe,2022,0,tangkai
Batur,biofarmaka,Laos,2022,0,tangkai
Batur,biofarmaka,Kencur,2022,0,tangkai
Batur,biofarmaka,Kunyit,2022,0,tangkai
Batur,sayuran,Bawang Merah,2023,0,ton
Batur,sayuran,Cabai Besar,2023,0,ton
Batur,sayuran,Kentang,2023,55245,ton
Batur,sayuran,Kubis,2023,22025,ton
Batur,sayuran,Petsai,2023,0,ton
Batur,sayuran,Tomat,2023,0,ton
Batur,sayuran,Bawang Putih,2023,0,ton
Batur,buah_tahunan,Mangga,2023,0,ton
Batur,buah_tahunan,Durian,2023,0,ton
Batur,buah_tahunan,Pisang,2023,79.03,ton
Batur,buah_tahunan,Pepaya,2023,568.37,ton
Batur,buah_tahunan,Salak,2023,0,ton
Batur,buah_tahunan,Jeruk Siam,2023,0,ton
Batur,tanaman_hias,Agloenema,2023,0,tangkai
Batur,tanaman_hias,Krisan,2023,0,tangkai
Batur,tanaman_hias,Mawar,2023,0,tangkai
Batur,tanaman_hias,Soka,2023,0,tangkai
Batur,biofarmaka,Jahe,2023,0,tangkai
Batur,biofarmaka,Laos,2023,0,tangkai
Batur,biofarmaka,Kencur,2023,0,tangkai
Batur,biofarmaka,Kunyit,2023,0,tangkai
Batur,sayuran,Bawang Merah,2024,0,ton
Batur,sayuran,Cabai Besar,2024,0,ton
Batur,sayuran,Kentang,2024,110300,ton
Batur,sayuran,Kubis,2024,16310,ton
Batur,sayuran,Petsai,2024,0,ton
Batur,sayuran,Tomat,2024,0,ton
Batur,sayuran,Bawang Putih,2024,0,ton
Batur,sayuran,Cabai Rawit,2024,0,ton
Batur,buah_tahunan,Mangga,2024,0,ton
Batur,buah_tahunan,Durian,2024,0,ton
Batur,buah_tahunan,Jeruk Besar,2024,0,ton
Batur,buah_tahunan,Pisang,2024,85.76,ton
Batur,buah_tahunan,Pepaya,2024,568.73,ton
