Kecamatan,Tanaman,Tahun,Produksi (Ton)
Pejawaran,Kelapa Dalam,2020,0
Pejawaran,Karet,2020,0
Pejawaran,Kopi Robusta,2020,107.36
Pejawaran,Kakao,2020,0
Pejawaran,Tebu,2020,0
Pejawaran,Teh,2020,10.83
Pejawaran,Tembakau,2020,200.83
Pejawaran,Kelapa Sawit,2021,0
Pejawaran,Kelapa Dalam,2021,0
Pejawaran,Karet,2021,0
Pejawaran,Kopi Robusta,2021,104.46
Pejawaran,Kakao,2021,0
Pejawaran,Tebu,2021,0
Pejawaran,Teh,2021,11.52
Pejawaran,Tembakau,2021,193.6
Pejawaran,Kelapa Sawit,2022,0
Pejawaran,Kelapa Dalam,2022,0
Pejawaran,Karet,2022,0
Pejawaran,Kopi Robusta,2022,107.32
Pejawaran,Kakao,2022,0
Pejawaran,Tebu,2022,0
Pejawaran,Teh,2022,11.69
Pejawaran,Tembakau,2022,0
Pejawaran,Kelapa Sawit,2023,0
Pejawaran,Kelapa Dalam,2023,0
Pejawaran,Karet,2023,0
Pejawaran,Kopi Robusta,2023,0
Pejawaran,Kakao,2023,0
Pejawaran,Tebu,2023,0
Pejawaran,Teh,2023,18.71
Pejawaran,Tembakau,2023,244.24
Pejawaran,Kelapa Sawit,2024,0
Pejawaran,Kelapa Dalam,2024,0
Pejawaran,Karet,2024,0
Pejawaran,Kopi Robusta,2024,183.56
Pejawaran,Kakao,2024,0
Pejawaran,Tebu,2024,0
Pejawaran,Teh,2024,37.42
Pejawaran,Tembakau,2024,307.43
Punggelan,Kelapa Sawit,2017,0
Punggelan,Karet,2017,0
Punggelan,Tebu,2017,1355.66
Punggelan,Teh,2017,0
Punggelan,Tembakau,2017,0
Punggelan,Kelapa Sawit,2018,0
Punggelan,Kelapa Dalam,2018,873.51
Punggelan,Karet,2018,0
